name,apCost,description,category,extra,role,order
counterattack,0,"When an enemy within reach
rolls a tough choice or worse on a basic attack against you, you parry their attack and take no damage. If they
roll a failure or worse, you may also immediately roll the die to make a basic attack on them. This counterattack does not count as a turn.",dueling,,FIGHTER,1
wild attack,0,"You attack with reckless power, disregarding your safety. Describe a signature style for this attack and what it looks like when you make it.
<hr/>
20: You deal quadruple damage.
<hr/>
11-19: You deal double damage.
<hr/>
6-10: You deal double damage to the enemy, but they counterattack you.
<hr/>
2-5: You miss. All enemies within reach may counterattack you immediately.
<hr/>
1: Your weapon breaks.",dueling,ROLL,FIGHTER,2
overpower,1,"You use your strength to overpower a commoner or minion within reach. (You cannot use this ability on bosses.) Describe how you overpower them. You put the target in a compromised position until they spend a turn getting out of it. During this time, basic attacks hit them for double damage.",dueling,,FIGHTER,3
disarm,1,"You disarm an NPC within reach. If you have a free hand, you may take the weapon for yourself, or you may toss the weapon aside. You may disarm the NPC on your turn or immediately after they roll a failure or worse on an attack against you.",dueling,,FIGHTER,4
duel,1,"You compel a nearby creature
to fight you in single combat. (The creature must already be hostile toward you.)
<br><br>
If you have the Quest Core Deck, take your Basic Attack, Wild Attack, Overpower, and Disarm cards. (If
you don't have this deck, assign these abilities to a standard deck of cards.) Choose three of these cards to use and place them facedown on the table, keeping it secret from the Guide.
The Guide must guess the identity of each card. Reveal the card after each guess. If the Guide guesses correctly, you fail to use the ability on that card. If they guess incorrectly, you use the ability immediately at no AP cost, and it is automatically successful.
If the Guide guesses all three correctly, your foe immediately makes a successful counterattack against you. But if they get all three guesses wrong, you may extend the Duel for another round of three guesses.",dueling,,FIGHTER,5
provoke,0,"Make a nearby creature angry at you by saying something or making a rude gesture. Your target must be able to understand your intent. For the next minute, the target focuses its attention on you, ignoring all others. The effect ends if the target is hit by another creature or if hostilities subside.",tactics,,FIGHTER,1
intercept,1,"If a nearby NPC is about to attack someone, you may rush to intercept the attack. (You must say you're using this ability as soon as the Guide declares the attack.) The NPC makes their attack on you instead.
<br><br>
When you intercept the attack, the attacker immediately becomes affected by your Provoke ability.",tactics,,FIGHTER,2
charge,2,"You lock your gaze on a nearby destination, summoning all of your strength to charge toward it. You violently barrel through any foes in your path, knocking them down and dealing 1 damage to each of them. Creatures you knock down are dazed and cannot use special abilities during their next turn.",tactics,,FIGHTER,3
retreat,2,"You Provoke all nearby enemies to give your allies cover to retreat. If you are in combat, one nearby enemy immediately gets a chance to attack you.
<br><br>
You and any willing allies can then safely and expeditiously disengage from a fight and leave the scene. Commoners and minions will not pursue you, but bosses may still choose to give chase.",tactics,,FIGHTER,4
whirlwind,2,"You become a tornado of martial fury in an attack so swift that creatures nearby can hear a whistling sound in the air. You may use your body or a weapon for this attack.
20: You strike all enemies within reach, hitting them for double damage.
<hr/>
11-19: You hit all enemies within reach. 6-10: You hit all enemies within reach.
<hr/>
Choose one: you deal half damage or your weapon breaks after dealing damage.
<hr/>
2-5: You hit one enemy within reach, then your weapon goes flying in the air.
<hr/>
1: You spin wildly until you feel sick, and an enemy disarms you.",tactics,ROLL,FIGHTER,5
